Date Received,Company / Project Name,Sector,Description,LTM EBITDA ($M),"KGP 
Lead",Source,"Status 
(Note: color updates automatically)",Investment Criteria Fit?,One Pager?,"EOI Range
EV/EBITDA Multiple","LOI
EV/EBITDA
Multiple",,,,,,Date Received,Date Received,,,,,,,,,,,,,,,,,,,,,
28-May-25,AML Oceanographic,Industrial Products,Manufacturer of oceanographic and hydrographic equipment,$2.8,AH,Personal Relationships,Passed,Yes,No,  -   ,  -   ,,,,,,May,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
26-May-25,Kubik,Business Services,Experiential marketing provider,$11.0,MA,Deloitte Corporate Finance,Passed,No,No,  -   ,  -   ,,,,,,May,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
20-May-25,Castle Cheese,Wholesale,Niche food manufacturing company,$5.2,BL,Grant Thornton LLP (Kelowna),Passed,Yes,No,  -   ,  -   ,,,,,,May,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
12-May-25,Sooke Harbour House,Other,Boutique hotel and restaurant,n.a.,TMH,Personal Relationships,Completed,VC,No,  -   ,  -   ,,,,,,May,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
30-Apr-25,Project Bus,Transportation Services,Premium motorcoach and bus operators,$10.0,AH,Baker Tilly (Vancouver),Immediate Pass,No,No,  -   ,  -   ,,,,,,Apr,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
23-Apr-25,WRE Group,Industrial Products,Design and manufacturing of electrical distribution equipment,$4.0,AH,KPMG Corporate Finance (Winnipeg),Passed,Yes,No,  -   ,  -   ,,,,,,Apr,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
8-Apr-25,Regal Auctions,Other,Leading full-service vehicle and equipment auction company,$4.0,BL,Fort Capital,Passed,Yes,No,  -   ,  -   ,,,,,,Apr,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
31-Mar-25,Project Mahogany,Other,Designer and manufacturer of infrared saunas,$9.2,BL,PMCF,Immediate Pass,No,No,  -   ,  -   ,,,,,,Mar,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
14-Mar-25,Project Polaris,Transportation Services,Para-transit solutions serving clients across Quebec,$5.4,AH,National Bank,Immediate Pass,No,No,  -   ,  -   ,,,,,,Mar,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
6-Mar-25,Project Spark,Industrial Products,Agriculture equipment manufacturer (grain handling),$0.8,MA,BDO Canada LLP,Immediate Pass,No,No,  -   ,  -   ,,,,,,Mar,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
4-Mar-25,Project Refuse,Industrial Products,Waste Equipment & Tank Truck Manufacturer,$4.5,AH,Crosbie & Company,Passed,Yes,No,  -   ,  -   ,,,,,,Mar,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
12-Feb-25,Huha,Retail,Online women's apparel retailer,$5.4,BL,RBC Mid-Market M&A,Passed,Yes,No,  -   ,  -   ,,,,,,Feb,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
11-Feb-25,Project Roots,Business Services,Construction service provider specializing in concrete and masonry,$1.6,BL,IJW & Co,Immediate Pass,No,No,  -   ,  -   ,,,,,,Feb,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
10-Feb-25,Nova Painting & Restoration Inc.,Business Services,"Interior and exterior painting services for commerical, industrial, and strata buildings",$1.8,BL,Rise Advisors,Passed,No,No,  -   ,  -   ,,,,,,Feb,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
7-Feb-25,Lone Butte Supply,Building Products,Independent home improvement store - buildling supplies & hardware products,$1.0,BL,MNP (Vancouver),Completed,Bolt-on,No,  -   ,  -   ,,,,,,Feb,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
30-Jan-25,Project Apollo,Transportation Services,End-to-end logistics services for lifestyle brands,$11.2,AH,KPMG (Toronto),Immediate Pass,No,No,  -   ,  -   ,,,,,,Jan,2025,,,LTM,YTD,,,,,,,,,,,,,,,,,
4-Nov-24,Oceanview,Business Services,"Mechanical contractor in Victoria for new-build projects, commercial tenant improvements, renovations, and select service work",$5.6,BL,Relay Transition Partners,Passed,Yes,No,  -   ,  -   ,,,,,,Nov,2024,,,LTM,,,,,,,,,,,,,,,,,,
30-Oct-24,H2 Safety Services,Business Services,Technology-enabled emergency management and consulting business,$5.7,TMH,KPMG Corporate Finance (Calgary),Passed,Yes,No,  -   ,  -   ,,,,,,Oct,2024,,,,,,,,,,,,,,,,,,,,,
22-Oct-24,Project Spectrum,Business Services,Supply and installation of window glazing ,$0.0,KM,PwC (Edmonton),Immediate Pass,Bolt-on,No,  -   ,  -   ,,,,,,Oct,2024,,,,,,,,,,,,,,,,,,,,,
21-Oct-24,Inner City Diesel,Business Services,Water and tailing management solutions specializing in the design and engineering of custom pumping,$4.5,BL,Fort Capital,Passed,Yes,No,  -   ,  -   ,,,,,,Oct,2024,,,,,,,,,,,,,,,,,,,,,
15-Oct-24,Project Calico,Building Products,Building products retailer located in Southern Ontario,$4.0,TMH,MNP (Vancouver),Passed,Bolt-on,No,  -   ,  -   ,,,,,,Oct,2024,,,,PYTD,,,,,,,,,,,,,,,,,
15-Oct-24,Project Blue Jay,Consumer Services,Language education company,$1.2,TMH,Baker Tilly (Vancouver),Passed,No,No,  -   ,  -   ,,,,,,Oct,2024,,,,PYTD,,,,,,,,,,,,,,,,,
8-Oct-24,The Wilbar Group,Retail,Manufacturer of above ground pools,$7.6,MA,Capstone Partners,Passed,Bolt-on,No,,,,,,,,Oct,2024,,,,PYTD,,,,,,,,,,,,,,,,,
2-Oct-24,Advanced Material Handling,Industrial Products,Conveyer chains distributor and bulk material conveyor systems manufacturer,$6.0,BL,KPMG Corporate Finance (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,Oct,2024,,,,PYTD,,,,,,,,,,,,,,,,,
25-Sep-24,The Pod Company,Retail,DTC and retail brand in wellness & recovery market,$10.7,TMH,GW Hahnbeck,Passed,Bolt-on,No,  -   ,  -   ,,,,,,Sep,2024,,,,PYTD,,,,,,,,,,,,,,,,,
22-Sep-24,Velofix,Consumer Services,Mobile bike servicing,$0.0,KM,Personal Relationships,Immediate Pass,VC,No,  -   ,  -   ,,,,,,Sep,2024,,,,PYTD,,,,,,,,,,,,,,,,,
16-Sep-24,Project Pumpkin,Retail,Grocery store business with multiple locations in Western Canada,$6.1,KM,Grant Thornton LLP (Calgary),Immediate Pass,Yes,No,  -   ,  -   ,,,,,,Sep,2024,,,,PYTD,,,,,,,,,,,,,,,,,
13-Sep-24,Oak & Fort,Retail,Premium apparel brand with retail footprint of 42 stores across Canada and the U.S.,-$3.7,KM,Montminy & Co.,Immediate Pass,No,No,  -   ,  -   ,,,,,,Sep,2024,,,,PYTD,,,,,,,,,,,,,,,,,
9-Sep-24,Project Integral,Business Services,"Fabrication, field services, and heavy equipment maintenance & rental",$13.7,BL,Assurgo Enterprises,Immediate Pass,No,No,  -   ,  -   ,,,,,,Sep,2024,,,,PYTD,,,,,,,,,,,,,,,,,
3-Sep-24,Project Russell,Business Services,Provides investigation services and emergency security to the insurance industry ,$0.0,AH,Raymond James,Immediate Pass,No,No,  -   ,  -   ,,,,,,Sep,2024,,,,PYTD,,,,,,,,,,,,,,,,,
27-Aug-24,Project Eagle,Business Services,Oil field services,$15.0,BL,Other,Passed,No,No,  -   ,  -   ,,,,,,Aug,2024,,,,PYTD,,,,,,,,,,,,,,,,,
15-Aug-24,West Coast Steel,Building Products,BC-based heavy manufacturing - steel fabrication,$2.0,BL,Rise Advisors,Passed,Yes,No,  -   ,  -   ,,,,,,Aug,2024,,,,PYTD,,,,,,,,,,,,,,,,,
7-Aug-24,Riversol,Retail,Skincare products,$0.3,KM,Personal Relationships,Passed,VC,No,  -   ,  -   ,,,,,,Aug,2024,,,,PYTD,,,,,,,,,,,,,,,,,
25-Jul-24,Wild North Services,Business Services,Water management and logistics solution provider ,$4.6,MA,BDO Canada LLP,Passed,Yes,No,  -   ,  -   ,,,,,,Jul,2024,,,,PYTD,,,,,,,,,,,,,,,,,
24-Jul-24,MEC,Retail,Canadian omni-channel outdoor technical gear and apparel retailer,$11.0,BL,"Kroll, formerly Duff & Phelps",Passed,No,No,  -   ,  -   ,,,,,,Jul,2024,,,,PYTD,,,,,,,,,,,,,,,,,
22-Jul-24,Tai Beauty Group,Retail,Natural beauty manufacturer & house of brands,$0.9,KM,Personal Relationships,Passed,VC,No,  -   ,  -   ,,,,,,Jul,2024,,,,PYTD,,,,,,,,,,,,,,,,,
16-Jul-24,Project Paint,Building Products,Single hardware retailer in Northern BC,$1.5,BL,MNP (Edmonton),Passed,Bolt-on,No,  -   ,  -   ,,,,,,Jul,2024,,,,PYTD,,,,,,,,,,,,,,,,,
16-Jul-24,Reusables.com,Consumer Services,Reusable container SaaS,$0.0,BL,Praxis,Immediate Pass,No,No,  -   ,  -   ,,,,,,Jul,2024,,,,PYTD,,,,,,,,,,,,,,,,,
9-Jul-24,Western Solar,Building Products,Solar contracting / EPC company,$5.6,MA,TrueNorth M&A,Passed,Yes,No,  -   ,  -   ,,,,,,Jul,2024,,,,PYTD,,,,,,,,,,,,,,,,,
8-Jul-24,Canadian Timberframes,Building Products,Manufacturer of specialty building products for mass timber projects,$5.0,KM,BDO Canada LLP,Passed,Yes,No,  -   ,  -   ,,,,,,Jul,2024,,,,PYTD,,,,,,,,,,,,,,,,,
25-Jun-24,Project Falcon,Business Services,"Provides marketing, customer onboarding, and back office support for Licensed Insolvency Trustees",$3.6,AH,KPMG (Toronto),Passed,No,No,  -   ,  -   ,,,,,,Jun,2024,,,,PYTD,,,,,,,,,,,,,,,,,
24-Jun-24,Revol Technologies Inc,Retail,Sustainable underwear option in menstrual care products,n.a.,AH,Personal Relationships,Passed,VC,No,  -   ,  -   ,,,,,,Jun,2024,,,,PYTD,,,,,,,,,,,,,,,,,
18-Jun-24,Divine Flooring,Building Products,"Branded flooring products importer, manufacturer and distributor",$9.5,KM,BDO Canada LLP,Passed,No,No,  -   ,  -   ,,,,,,Jun,2024,,,,PYTD,,,,,,,,,,,,,,,,,
18-Jun-24,Coldstar Solutions,Transportation Services,Niche transportation & storage company,$4.0,BL,STS Capital Partners,Passed,Yes,No,  -   ,  -   ,,,,,,Jun,2024,,,,PYTD,,,,,,,,,,,,,,,,,
17-Jun-24,Oracle RMG,Business Services,Canadian P&C insurance brokerage,$4.7,BL,KPMG Corporate Finance (Vancouver),Passed,No,No,  -   ,  -   ,,,,,,Jun,2024,,,,PYTD,,,,,,,,,,,,,,,,,
14-Jun-24,Midwest Stairs & Iron,Building Products,Manufacturer and fabricator of steel and aluminum architectural products (Vista),$2.5,AH,TKO Miller,Passed,Bolt-on,No,5.4x-5.9x,  -   ,,,,,,Jun,2024,,,,PYTD,,,,,,,,,,,,,,,,,
10-Jun-24,Project Groove,Other,Online music education platform,$1.7,KM,Origin Merchant Partners,Passed,No,No,  -   ,  -   ,,,,,,Jun,2024,,,,PYTD,,,,,,,,,,,,,,,,,
4-Jun-24,Alberta Asphalt Group,Business Services,"Infrastructure services including paving, base preparation, and concrete construction",$7.2,TMH,Grant Thornton LLP (Edmonton),Passed,Yes,No,  -   ,  -   ,,,,,,Jun,2024,,,,PYTD,,,,,,,,,,,,,,,,,
31-May-24,Surtek Industries,Electronics,Contract electronics and electrical manufacturing company,$5.0,TMH,Rise Advisors,Passed,Yes,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
28-May-24,K-Line,Transportation Products,Transportation equipment manufacturer,$6.5,BL,Sequoia Mergers & Acquisitions Corp.,Passed,Yes,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
24-May-24,RWC Systems Inc,Building Products,"Supply, construction, and installation of steel stud and drywall wall assemblies, and specialty ceilings.",$7.3,MJA,BDO Canada LLP,Passed,Yes,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
21-May-24,Pan American Nursery Products,Wholesale,Distributing and wholesaling of retail ready plants,$7.0,BL,KPMG Corporate Finance (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
14-May-24,NuWave,Business Services,Microwave assisted processing,n.a.,TMH,Other,Passed,VC,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
14-May-24,Contour Earthmoving,Business Services,Earthworks and heavy construction company,$8.8,TMH,Grant Thornton LLP (Calgary),Passed,No,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
14-May-24,Big Country Equipment Repair,Business Services,Equipment servicer for remote locations,$5.3,BL,MNP (Vancouver),Passed,No,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
13-May-24,Project Link,Business Services,"Connects companies with the investment community by hosting conferences, meeetings, etc.",$3.0,KM,Fort Capital,Immediate Pass,Yes,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
10-May-24,Project Horizon,Business Services,Paving contractor,$9.7,TMH,BDO Canada LLP,Immediate Pass,No,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
9-May-24,PowerWood,Agriculture / Forestry,Cedar wood supplier,$1.9,KM,Personal Relationships,Passed,Yes,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
9-May-24,Coho Collective,Consumer Services,"2 businesses: Coho Commissary, a shared rentable kitchen and Purebread, a bakery chain",$3.1,TMH,Other,Passed,Yes,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
8-May-24,Project Whitefish,Electronics,Vertically integrated electrical utility construction and maintenance provider,$13.0,TMH,Fort Capital,Immediate Pass,No,No,  -   ,  -   ,,,,,,May,2024,,,,PYTD,,,,,,,,,,,,,,,,,
30-Apr-24,Project Solar,Other,Tomato processing company,$2.8,TMH,KPMG (Toronto),Immediate Pass,No,No,  -   ,  -   ,,,,,,Apr,2024,,,,PYTD,,,,,,,,,,,,,,,,,
29-Apr-24,Paramount Services,Business Services,Maintenance and equipment supply company,$4.5,KM,Grant Thornton LLP (Winnipeg),Passed,Yes,No,  -   ,  -   ,,,,,,Apr,2024,,,,PYTD,,,,,,,,,,,,,,,,,
24-Apr-24,tappConnect,Transportation Services,Regional transportation service provider,$5.6,AH,MNP (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,Apr,2024,,,,PYTD,,,,,,,,,,,,,,,,,
